S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1929,344113,143.5,74638,5302,2608,AL,OC
1930,290850,143.5,74648,5303,1140,AD,MBC
1931,286809,143.5,74653,5304,3844,BM,OC
1932,363931,143.5,74661,5305,2741,CS,BC
1933,279600,143.5,74669,5308,1408,CS,MBC
1934,306833,143.5,74672,5309,3795,CS,SC
1935,242670,143.5,74677,5311,1118,AD,BC
1936,310274,143.5,74699,5314,2347,AG,SC
1937,348677,143.5,74719,5317,1507,CS,MBC
1938,376402,143.285,74742,5320,2776,AG,OC
1939,349540,143.265,74743,5321,4928,EE,OC
1940,367393,143.19,74748,5322,1140,AD,BC
1941,274925,143.135,74752,5324,2651,FT,OC
1942,269836,143.045,74757,5326,4974,ME,OC
1943,381518,143,74791,5330,1519,IT,BC
1944,338078,143,74799,5334,5919,EC,BC
1945,289941,143,74813,5335,2704,MZ,OC
1946,348179,143,74825,5339,1237,EC,OC
1947,305930,143,74850,5340,2345,IT,OC
1948,399724,143,74852,5341,1210,EE,BC
1949,398329,143,74861,5343,1123,CS,OC
1950,334587,143,74882,5345,2727,IT,MBC
1951,304849,143,74916,5346,2314,EE,OC
1952,342328,143,74932,5348,2607,AM,OC
1953,302052,143,74962,5350,2369,CE,SC
1954,227911,143,74973,5352,1126,CS,OC
1955,366346,143,74986,5354,2620,BM,MBC
1956,253032,143,75002,5356,2622,IT,BC
1957,403911,143,75003,5357,3810,EE,OC
1958,304562,143,75012,5359,1505,CS,MBC
1959,285040,143,75025,5361,2623,EC,OC
1960,204200,143,75031,5362,4960,BT,OC
1961,375544,143,75052,5363,2743,EE,BC
1962,220553,143,75053,5364,3826,AD,BC
1963,267181,143,75067,5365,3011,EC,SC
1964,288082,143,75068,5366,2764,CH,MBC
1965,330464,143,75070,5367,1304,BM,MBC
1966,340657,143,75076,5368,2727,SC,MBC
1967,294254,143,75098,5369,2734,TS,OC
1968,293624,143,75123,5372,2641,CS,MBC
1969,255226,143,75158,5374,4917,CS,MBC
1970,260752,143,75170,5375,1015,EC,BC
1971,273583,143,75175,5376,1509,CS,MBC
1972,260212,143,75192,5377,2717,CS,BC
1973,305183,143,75234,5380,1309,EC,MBC
1974,306199,143,75287,5382,4672,CS,BC
1975,255444,143,75291,5383,2715,AD,MBC
1976,205513,143,75308,5386,3795,AD,BC
1977,282906,143,75324,5387,1324,EC,BC
1978,396810,143,75357,5389,3805,IT,BC
1979,322731,143,75386,5393,2726,EC,MBC
1980,401458,143,75426,5399,1317,EI,OC
1981,266823,143,75439,5400,5910,EC,MBC
1982,352411,143,75443,5402,5,CS,MBC
1983,342185,143,75480,5404,3011,PH,MBC
1984,390390,143,75486,5405,2743,BM,BC
1985,308900,143,75495,5406,4669,CS,SC
1986,304258,142.9,75509,5409,2764,EC,SC
1987,297228,142.845,75514,5411,5536,EC,OC
1988,246959,142.81,75518,5412A,2743,AG,MBC
1989,223767,142.705,75523,5415,3021,EE,OC
1990,320911,142.67,75529,5416,1114,EE,OC
1991,292414,142.53,75534,5418,1413,SC,BC
1992,255842,142.5,75545,5419,4962,EC,BC
1993,352134,142.5,75581,5420,2609,IT,MBC
1994,316741,142.5,75583,5421,3805,AG,OC
1995,256125,142.5,75590,5423,3908,CS,OC
1996,318125,142.5,75595,5424,1405,CS,OC
1997,276829,142.5,75606,5425,2617,EC,OC
1998,378883,142.5,75609,5426,2731,EC,BC
1999,389880,142.5,75636,5428,3857,EE,OC
2000,390156,142.5,75647,5429,2610,EE,OC
2001,240838,142.5,75680,5432,1118,EC,MBC
2002,300671,142.5,75694,5433,1225,IT,OC
2003,331483,142.5,75704,5435,2707,CH,SC
2004,315498,142.5,75736,5438,2634,IT,BC
2005,222591,142.5,75740,5439,1306,IT,SC
